"","salaries.2014","salaries.2015","raise","got.raise"
"Employee 77",18748.757482972,18944.2453100346,195.487827062607,TRUE
"Employee 78",16114.270221442,17670.4259570688,1556.15573562682,TRUE
"Employee 79",11081.4982582815,11018.2658978738,-63.2323604077101,FALSE
"Employee 80",15194.0994150937,15300.3023525234,106.202937429771,TRUE
"Employee 81",12939.1580121592,12512.6364089083,-426.521603250876,FALSE
"Employee 82",18179.6130095609,18570.2472745907,390.634265029803,TRUE
"Employee 83",18610.4908352718,19370.3520148993,759.861179627478,TRUE
"Employee 84",11331.5774826333,11923.7883856986,592.210903065279,TRUE
"Employee 85",12189.5491075702,12600.6175451912,411.068437620997,TRUE
"Employee 86",15477.8780881315,16855.2327710204,1377.35468288884,TRUE
"Employee 87",13663.3269069716,14538.7980502564,875.471143284813,TRUE
"Employee 88",12135.055384133,11716.4937669877,-418.561617145315,FALSE
"Employee 89",15934.7279090434,15137.8657673486,-796.862141694874,FALSE
"Employee 90",19021.689593792,19711.2266735639,689.537079771981,TRUE
"Employee 91",13930.4636418819,14059.6379672643,129.174325382337,TRUE
"Employee 92",13436.1303877085,13419.2272662185,-16.9031214900315,FALSE
"Employee 93",19698.5816978849,20677.2640722338,978.682374348864,TRUE
"Employee 94",12211.9189286605,13959.3913666904,1747.47243802994,TRUE
"Employee 95",16742.3701169901,16489.2574539408,-253.112663049251,FALSE
"Employee 96",14152.625054121,14039.9009948596,-112.724059261382,FALSE
"Employee 97",10441.6559357196,9984.07882871106,-457.577107008547,FALSE
"Employee 98",10919.4989525713,11645.148198586,725.649246014655,TRUE
"Employee 99",10425.9920492768,11653.1432026532,1227.15115337633,TRUE
"Employee 100",12872.2012694925,13898.5958583653,1026.39458887279,TRUE
